channel,feature,reference_value,mean_abs_score_delta,max_abs_score_delta,rows_evaluated,interpretation
channel_15,value,0.0876035988330841,0.023447064291626237,0.07426794582349538,5000,model sensitivity evidence; non-causal
channel_15,delta_1,0.0,0.007028171942358395,0.14712939256121915,5000,model sensitivity evidence; non-causal
channel_15,rolling_mean_24,0.08744034791986148,0.01758414150899891,0.05354026603561324,5000,model sensitivity evidence; non-causal
channel_15,rolling_std_24,0.0010719861700505882,0.010277898659316673,0.15051071216840395,5000,model sensitivity evidence; non-causal
channel_15,rolling_margin_24,-0.000268351286649704,0.007052038823164901,0.10063603892525619,5000,model sensitivity evidence; non-causal
channel_15,rolling_abs_z_24,0.35527405207979595,0.00864048985581707,0.20339058466270127,5000,model sensitivity evidence; non-causal
channel_16,value,0.7226383090019226,0.015633990022651617,0.04820271033988943,5000,model sensitivity evidence; non-causal
channel_16,delta_1,0.0,0.006933156784785993,0.14424904823585832,5000,model sensitivity evidence; non-causal
channel_16,rolling_mean_24,0.7226383437712988,0.009298050319206637,0.03652457450238367,5000,model sensitivity evidence; non-causal
channel_16,rolling_std_24,0.001432272332880856,0.014033624580734925,0.1356207395379408,5000,model sensitivity evidence; non-causal
channel_16,rolling_margin_24,-0.000383034348487854,0.008391341091038196,0.11456813766570584,5000,model sensitivity evidence; non-causal
channel_16,rolling_abs_z_24,0.3382849457334562,0.008132259310664875,0.1855074454782945,5000,model sensitivity evidence; non-causal
channel_17,value,0.30273547768592834,0.0202824775604576,0.08390305521944663,5000,model sensitivity evidence; non-causal
channel_17,delta_1,0.0,0.006452877410863809,0.1452123774199029,5000,model sensitivity evidence; non-causal
channel_17,rolling_mean_24,0.3022960436840852,0.015635734660144864,0.07522141920099351,5000,model sensitivity evidence; non-causal
channel_17,rolling_std_24,0.0012510585026145153,0.012631801236422482,0.13202088531318384,5000,model sensitivity evidence; non-causal
channel_17,rolling_margin_24,0.0003141351044178009,0.008399987663586503,0.11458463660957807,5000,model sensitivity evidence; non-causal
channel_17,rolling_abs_z_24,0.4017129344246337,0.007440285966003506,0.20801302836580243,5000,model sensitivity evidence; non-causal
channel_18,value,0.3238435983657837,0.01722848354606145,0.09896393784984331,5000,model sensitivity evidence; non-causal
channel_18,delta_1,0.0,0.008285153367941663,0.13107197255664854,5000,model sensitivity evidence; non-causal
channel_18,rolling_mean_24,0.3244719405968984,0.011974970985128194,0.07805363060319476,5000,model sensitivity evidence; non-causal
channel_18,rolling_std_24,0.0014954982290005605,0.011990789601606584,0.1301515013669719,5000,model sensitivity evidence; non-causal
channel_18,rolling_margin_24,0.000314061840375246,0.0056845980932418595,0.09143853272761238,5000,model sensitivity evidence; non-causal
channel_18,rolling_abs_z_24,0.4595362915361383,0.007913174278562262,0.20174059056073573,5000,model sensitivity evidence; non-causal
channel_19,value,0.27506333589553833,0.016274440447435205,0.0638103688026524,5000,model sensitivity evidence; non-causal
channel_19,delta_1,0.0,0.008542787683437063,0.13417015017113343,5000,model sensitivity evidence; non-causal
channel_19,rolling_mean_24,0.2748033565779527,0.007236929405306394,0.04296685636254549,5000,model sensitivity evidence; non-causal
channel_19,rolling_std_24,0.0014530726482293844,0.014283648293866804,0.14399803339042472,5000,model sensitivity evidence; non-causal
channel_19,rolling_margin_24,0.00032490181426209075,0.005737012449067495,0.13448567617970986,5000,model sensitivity evidence; non-causal
channel_19,rolling_abs_z_24,0.47026997071844373,0.00741795996323728,0.19702385559536156,5000,model sensitivity evidence; non-causal
channel_20,value,0.3171748220920563,0.03582693619100436,0.0936691130314879,5000,model sensitivity evidence; non-causal
channel_20,delta_1,0.0,0.006551738975685683,0.10209005700351903,5000,model sensitivity evidence; non-causal
channel_20,rolling_mean_24,0.3167198561131954,0.0287574421672051,0.08145868127284772,5000,model sensitivity evidence; non-causal
channel_20,rolling_std_24,0.0013650448673170575,0.009216710409414328,0.09968075657463582,5000,model sensitivity evidence; non-causal
channel_20,rolling_margin_24,0.0003896045188109265,0.006871655131822426,0.098322390476407,5000,model sensitivity evidence; non-causal
channel_20,rolling_abs_z_24,0.37002421074435543,0.007263891819924801,0.20610521309119867,5000,model sensitivity evidence; non-causal
channel_21,value,0.24138092994689941,0.02348104758182356,0.08617775337272993,5000,model sensitivity evidence; non-causal
channel_21,delta_1,0.0,0.007102378111696867,0.15386882342309083,5000,model sensitivity evidence; non-causal
channel_21,rolling_mean_24,0.24106722262998423,0.0196622327513085,0.0832051725748496,5000,model sensitivity evidence; non-causal
channel_21,rolling_std_24,0.0013101468896157518,0.011808070036449765,0.132284603714168,5000,model sensitivity evidence; non-causal
channel_21,rolling_margin_24,-0.000376775860786438,0.010394605168195428,0.1146413986589544,5000,model sensitivity evidence; non-causal
channel_21,rolling_abs_z_24,0.3683382195277076,0.010104058523488559,0.2157366852426612,5000,model sensitivity evidence; non-causal
channel_22,value,0.30445054173469543,0.021721497855920386,0.06922763232277424,5000,model sensitivity evidence; non-causal
channel_22,delta_1,0.0,0.007226081422189021,0.17669165592200753,5000,model sensitivity evidence; non-causal
channel_22,rolling_mean_24,0.3038513883948326,0.012332012871862589,0.04081150021311902,5000,model sensitivity evidence; non-causal
channel_22,rolling_std_24,0.0010371313151966886,0.010109251650266687,0.12720293606087657,5000,model sensitivity evidence; non-causal
channel_22,rolling_margin_24,-0.00030052661895751953,0.00828252084473808,0.10177093255857872,5000,model sensitivity evidence; non-causal
channel_22,rolling_abs_z_24,0.3488742203157613,0.007129832291612769,0.24910734332520612,5000,model sensitivity evidence; non-causal
channel_23,value,0.094044029712677,0.031235291216620872,0.07347434423097027,5000,model sensitivity evidence; non-causal
channel_23,delta_1,0.0,0.008358036402986864,0.14858335346199897,5000,model sensitivity evidence; non-causal
channel_23,rolling_mean_24,0.09393249607334535,0.016674956283503073,0.044808988298828956,5000,model sensitivity evidence; non-causal
channel_23,rolling_std_24,0.0011059433859321338,0.012050055708584962,0.15287651887153497,5000,model sensitivity evidence; non-causal
channel_23,rolling_margin_24,-0.0002693043400843892,0.008839359191698384,0.10844475535282205,5000,model sensitivity evidence; non-causal
channel_23,rolling_abs_z_24,0.36346638185419483,0.007735076938975594,0.15738012546140168,5000,model sensitivity evidence; non-causal
channel_24,value,0.7152832746505737,0.01445087136941398,0.05668905879134423,5000,model sensitivity evidence; non-causal
channel_24,delta_1,0.0,0.007417579651315435,0.1340621110677998,5000,model sensitivity evidence; non-causal
channel_24,rolling_mean_24,0.7158961544434229,0.007667281202593099,0.032326913247666955,5000,model sensitivity evidence; non-causal
channel_24,rolling_std_24,0.0015316244577766288,0.014558907968124004,0.12746457563156216,5000,model sensitivity evidence; non-causal
channel_24,rolling_margin_24,-0.00038310388724005495,0.008828027594789133,0.11253557593730057,5000,model sensitivity evidence; non-causal
channel_24,rolling_abs_z_24,0.34610827520127463,0.008814341475205663,0.18002668703616165,5000,model sensitivity evidence; non-causal
channel_25,value,0.26052266359329224,0.014619108572250752,0.08950925300258172,5000,model sensitivity evidence; non-causal
channel_25,delta_1,0.0,0.008910955443240979,0.138021643687588,5000,model sensitivity evidence; non-causal
channel_25,rolling_mean_24,0.26058422153194744,0.011625005697526631,0.08336731780455336,5000,model sensitivity evidence; non-causal
channel_25,rolling_std_24,0.0013089790299921833,0.01359065076619628,0.13859324173513293,5000,model sensitivity evidence; non-causal
channel_25,rolling_margin_24,0.0002513087044159479,0.007075569194293718,0.11648672024431372,5000,model sensitivity evidence; non-causal
channel_25,rolling_abs_z_24,0.41983074959672934,0.006483268966882907,0.21571549477372653,5000,model sensitivity evidence; non-causal
channel_26,value,0.363042414188385,0.010419163015846805,0.07871997385597701,5000,model sensitivity evidence; non-causal
channel_26,delta_1,0.0,0.007508032614811421,0.1323547862364527,5000,model sensitivity evidence; non-causal
channel_26,rolling_mean_24,0.36291690667470294,0.011547691568590776,0.06559376579266912,5000,model sensitivity evidence; non-causal
channel_26,rolling_std_24,0.0014043297599535206,0.009709133050868485,0.11546299646939318,5000,model sensitivity evidence; non-causal
channel_26,rolling_margin_24,0.0003769621253013611,0.007106952343383907,0.09379300919487255,5000,model sensitivity evidence; non-causal
channel_26,rolling_abs_z_24,0.4019028283666851,0.006470356307474387,0.20225035714109924,5000,model sensitivity evidence; non-causal
channel_27,value,0.23295187950134277,0.02141447740413277,0.08725695027985575,5000,model sensitivity evidence; non-causal
channel_27,delta_1,0.0,0.009050984668849004,0.1320832375190813,5000,model sensitivity evidence; non-causal
channel_27,rolling_mean_24,0.23327684899171194,0.014540391664265283,0.06733021315831467,5000,model sensitivity evidence; non-causal
channel_27,rolling_std_24,0.0012733030860691465,0.01225293598894325,0.12248724437498248,5000,model sensitivity evidence; non-causal
channel_27,rolling_margin_24,0.00032468202213445374,0.0069466899698581415,0.11315181383551054,5000,model sensitivity evidence; non-causal
channel_27,rolling_abs_z_24,0.3820327630722044,0.006534662191340615,0.16397737320410832,5000,model sensitivity evidence; non-causal
channel_28,value,0.1799212545156479,0.009769313822342475,0.06468533511453839,5000,model sensitivity evidence; non-causal
channel_28,delta_1,0.0,0.009430136555085022,0.14018160011225966,5000,model sensitivity evidence; non-causal
channel_28,rolling_mean_24,0.17992132777969042,0.010743295873087321,0.06686781576467765,5000,model sensitivity evidence; non-causal
channel_28,rolling_std_24,0.001373544594838179,0.01421852813513939,0.11995570385324916,5000,model sensitivity evidence; non-causal
channel_28,rolling_margin_24,0.000324901814262063,0.005529145059272231,0.09967481586107108,5000,model sensitivity evidence; non-causal
channel_28,rolling_abs_z_24,0.44072775459168373,0.0066162957168712355,0.19359068142898783,5000,model sensitivity evidence; non-causal
channel_29,value,0.2579793930053711,0.027528635230797523,0.09009484484116947,5000,model sensitivity evidence; non-causal
